arch,col,bits,occ,decoded_bytes,binding,binding_sectors,binding_peak_sec_per_ns,predicted_GBps,measured_GBps,ratio_meas_over_pred,implied_util_pct,sectors_per_byte,pred_l2_GBps,ratio_l2
b300,clickbench_URL,12,64.6,999999995,l1,4693537369,135.23,28.8,961.8,33.38,3338,4.694,188.1,5.11
b300,clickbench_URL,16,64.2,999999995,l1,2647915359,132.30,50.0,1093.7,21.89,2189,2.648,320.1,3.42
b300,synthetic_url,12,74.3,923569389,l1,2100916821,150.61,66.2,1689.4,25.52,2552,2.275,439.2,3.85
b300,synthetic_url,16,74.6,923569389,l1,2126894984,153.00,66.4,1654.6,24.90,2490,2.303,442.1,3.74
b300,tpch-sf10_l_comment,16,71.0,999999977,l1,2412543876,213.22,88.4,1066.4,12.07,1207,2.413,454.4,2.35
b300,tpch-sf10_l_shipinstruct,12,73.4,719788494,l1,694800628,153.56,159.1,1672.7,10.51,1051,0.965,750.2,2.23
b300,tpch-sf10_l_shipinstruct,16,73.4,719788494,l1,698549010,154.76,159.5,1663.0,10.43,1043,0.970,750.2,2.22
b300,tpch-sf10_ps_comment,12,73.2,987934065,l1,2972586650,172.92,57.5,1447.3,25.18,2518,3.009,385.6,3.75
b300,tpch-sf10_ps_comment,16,69.1,987934065,l1,2468746990,135.63,54.3,1198.1,22.07,2207,2.499,391.9,3.06
h100,clickbench_URL,12,68.1,999999995,l2,4610914928,410.30,89.0,841.8,9.46,946,4.611,89.0,9.46
h100,synthetic_url,12,69.4,923569389,l2,1852084368,410.29,204.6,1434.0,7.01,701,2.005,204.6,7.01
h100,tpch-sf10_l_shipinstruct,12,74.2,719788494,l2,827974214,410.38,356.8,1460.6,4.09,409,1.150,356.8,4.09
l40s,clickbench_URL,12,88.2,999999995,l2,3343330191,136.33,40.8,463.3,11.36,1136,3.343,40.8,11.36
l40s,clickbench_URL,16,88.5,999999995,l2,2039232867,136.22,66.8,461.3,6.91,691,2.039,66.8,6.91
l40s,synthetic_url,12,83.9,923569389,l2,1337121248,136.22,94.1,535.9,5.70,570,1.448,94.1,5.70
l40s,synthetic_url,16,84.0,923569389,l2,1293319514,136.58,97.5,536.5,5.50,550,1.400,97.5,5.50
l40s,tpch-sf10_l_comment,16,93.7,999999977,l2,1687527212,136.36,80.8,443.1,5.48,548,1.688,80.8,5.48
l40s,tpch-sf10_l_shipinstruct,12,97.3,719788494,l2,551546690,136.86,178.6,516.5,2.89,289,0.766,178.6,2.89
l40s,tpch-sf10_l_shipinstruct,16,97.2,719788494,l2,551546400,136.52,178.2,515.0,2.89,289,0.766,178.2,2.89
l40s,tpch-sf10_ps_comment,12,85.3,987934065,l2,1754250852,136.39,76.8,522.9,6.81,681,1.776,76.8,6.81
l40s,tpch-sf10_ps_comment,16,87.6,987934065,l2,2079238984,136.40,64.8,494.3,7.63,763,2.105,64.8,7.63
