arch,col,bits,kernel,chunks,occ,dur_ms,in_capture_GBps,sol_l1,sol_l2,sol_dram,sol_sm,binding,l1_sec_per_byte,l2_sec_per_byte,l1_peak_sec_ns,l2_peak_sec_ns,pred_GBps,pred_l1_GBps,pred_l2_GBps,pred_paper_GBps,measured_GBps,ratio_meas_over_pred,stall_top1,stall_top2,long_scoreboard_share_pct
a100,clickbench_URL,12,onpair_shmem_4tpt_split8read,1,41.3,3.100,322.6,84.8,29.1,29.6,52.8,l1,0.396,0.108,151.0,251.6,381.1,381.1,2328.3,2328.3,460.2,1.21,long_scoreboard=4.01,wait=1.59,35.0
a100,clickbench_URL,16,onpair_shmem_4tpt,1,41.2,2.640,378.8,91.4,52.4,29.9,32.7,l1,0.204,0.161,84.9,251.9,415.4,415.4,1568.2,1568.2,510.8,1.23,mio_throttle=7.52,long_scoreboard=3.43,17.7
a100,fineweb_text,12,onpair_shmem_4tpt_split8read,1,39.5,3.710,269.5,71.7,27.4,27.5,51.1,l1,0.579,0.119,218.0,251.9,376.5,376.5,2122.2,2122.2,414.0,1.10,long_scoreboard=3.52,not_selected=1.67,31.1
a100,fineweb_text,16,onpair_shmem_4tpt,1,40.6,4.540,220.3,80.8,66.0,19.0,27.7,l1,0.363,0.313,99.1,251.9,272.9,272.9,804.6,804.6,261.5,0.96,mio_throttle=8.78,long_scoreboard=3.34,14.6
a100,synthetic_url,12,onpair_shmem_4tpt,1,45.8,1.505,613.7,93.2,41.0,45.5,38.3,l1,0.154,0.077,101.9,251.9,660.8,660.8,3285.5,3285.5,827.5,1.25,mio_throttle=8.27,long_scoreboard=3.41,18.7
a100,synthetic_url,16,onpair_shmem_4tpt,1,46.4,1.560,592.0,93.5,39.5,44.4,39.0,l1,0.164,0.077,104.1,255.2,634.9,634.9,3299.7,3299.7,829.0,1.31,mio_throttle=8.18,long_scoreboard=3.38,18.6
a100,tpch-sf10_l_comment,12,onpair_shmem_4tpt,5,44.2,0.029,349.2,84.4,27.1,6.3,33.5,l1,0.284,0.093,134.4,250.8,473.3,473.3,2697.4,2697.4,635.0,1.34,mio_throttle=6.41,long_scoreboard=3.10,17.5
a100,tpch-sf10_l_comment,16,onpair_shmem_4tpt,1,38.5,3.000,333.3,82.2,68.5,25.3,23.6,l1,0.222,0.223,90.3,252.0,406.2,406.2,1128.9,1128.9,400.4,0.99,mio_throttle=10.99,long_scoreboard=3.67,14.5
a100,tpch-sf10_l_shipinstruct,12,onpair_shmem_4tpt,1,46.1,1.220,590.0,90.0,40.7,45.0,45.5,l1,0.064,0.079,41.9,255.2,657.6,657.6,3214.6,3214.6,844.9,1.28,mio_throttle=6.31,long_scoreboard=3.18,20.8
a100,tpch-sf10_l_shipinstruct,16,onpair_shmem_4tpt,1,46.1,1.240,580.5,90.6,40.4,44.6,45.1,l1,0.060,0.079,38.9,255.3,642.7,642.7,3215.8,3215.8,840.8,1.31,mio_throttle=6.39,long_scoreboard=3.20,20.7
a100,tpch-sf10_ps_comment,12,onpair_shmem_4tpt,1,45.7,1.890,522.7,93.3,36.5,39.8,38.0,l1,0.217,0.090,121.6,251.6,561.8,561.8,2810.2,2810.2,728.7,1.30,mio_throttle=8.03,long_scoreboard=3.27,17.7
a100,tpch-sf10_ps_comment,16,onpair_shmem_4tpt,1,38.1,2.700,365.9,80.5,64.8,27.0,23.4,l1,0.190,0.196,86.5,255.2,455.8,455.8,1300.9,1300.9,465.2,1.02,mio_throttle=10.82,long_scoreboard=3.63,14.5
a100,wikipedia_text,12,onpair_shmem_4tpt_split8read,1,40.2,2.700,260.4,72.1,27.0,26.9,51.8,l1,0.592,0.121,214.0,251.9,361.6,361.6,2081.6,2081.6,393.5,1.09,long_scoreboard=3.40,not_selected=1.73,30.0
a100,wikipedia_text,16,onpair_shmem_4tpt,1,40.8,3.140,223.9,83.8,65.6,19.4,29.1,l1,0.370,0.307,99.0,251.8,267.7,267.7,819.3,819.3,291.8,1.09,mio_throttle=8.28,long_scoreboard=3.18,14.5
l40s,clickbench_URL,12,onpair_shmem_4tpt_split8read,1,56.9,3.950,253.2,66.2,48.9,49.8,62.6,l1,0.398,0.144,152.2,136.1,382.7,382.7,943.6,943.6,463.3,1.21,mio_throttle=8.23,long_scoreboard=5.15,25.4
l40s,clickbench_URL,16,onpair_shmem_4tpt,1,50.3,2.840,352.1,69.2,75.3,59.6,47.2,l2,0.208,0.151,106.3,135.9,902.0,510.1,902.0,902.0,461.3,0.51,mio_throttle=13.06,long_scoreboard=3.20,12.9
l40s,fineweb_text,12,onpair_shmem_4tpt_split8read,1,52.1,6.960,143.7,46.1,46.1,32.2,38.5,l1,0.586,0.245,182.7,136.1,311.9,311.9,554.8,554.8,409.5,1.31,mio_throttle=13.72,long_scoreboard=4.46,15.6
l40s,fineweb_text,16,onpair_shmem_4tpt,1,51.6,5.350,186.9,79.4,88.3,35.5,36.7,l2,0.378,0.337,88.9,136.0,402.9,235.4,402.9,402.9,269.0,0.67,mio_throttle=19.78,short_scoreboard=3.37,8.0
l40s,synthetic_url,12,onpair_shmem_4tpt,1,55.3,1.760,524.8,68.8,31.7,82.2,54.8,dram,0.165,0.043,126.1,136.5,638.6,766.2,3192.2,3192.2,535.9,0.84,long_scoreboard=9.28,mio_throttle=7.88,38.5
l40s,synthetic_url,16,onpair_shmem_4tpt,1,54.9,1.740,530.8,69.5,32.6,82.4,52.8,dram,0.162,0.044,124.1,135.9,643.8,767.3,3120.2,3120.2,536.5,0.83,long_scoreboard=8.88,mio_throttle=8.41,36.3
l40s,tpch-sf10_l_comment,12,onpair_shmem_4tpt,5,55.5,0.048,210.4,50.6,47.3,8.5,31.3,l1,0.286,0.165,138.0,134.6,481.9,481.9,817.1,817.1,474.9,0.99,mio_throttle=18.46,lg_throttle=4.53,11.4
l40s,tpch-sf10_l_comment,16,onpair_shmem_4tpt,1,52.2,3.980,251.3,69.9,78.0,41.4,27.8,l2,0.230,0.218,82.7,136.1,623.5,359.5,623.5,623.5,443.1,0.71,mio_throttle=26.80,short_scoreboard=5.51,8.4
l40s,tpch-sf10_l_shipinstruct,12,onpair_shmem_4tpt,1,55.8,1.400,514.1,62.2,29.9,81.2,61.8,dram,0.064,0.040,53.0,135.9,633.5,831.9,3372.8,3372.8,516.5,0.82,mio_throttle=7.57,long_scoreboard=6.50,31.1
l40s,tpch-sf10_l_shipinstruct,16,onpair_shmem_4tpt,1,56.0,1.400,514.1,62.2,29.9,81.3,61.9,dram,0.064,0.040,52.9,136.0,632.4,830.0,3374.5,3374.5,515.0,0.81,mio_throttle=7.52,long_scoreboard=6.46,31.1
l40s,tpch-sf10_ps_comment,12,onpair_shmem_4tpt,1,49.1,2.530,390.5,69.2,67.0,63.4,43.8,l1,0.218,0.126,123.4,135.9,565.9,565.9,1079.6,1079.6,522.9,0.92,mio_throttle=13.41,long_scoreboard=3.86,14.8
l40s,tpch-sf10_ps_comment,16,onpair_shmem_4tpt,1,50.6,3.390,291.4,69.9,78.0,46.4,28.3,l2,0.196,0.186,81.6,135.9,731.4,417.0,731.4,731.4,494.3,0.68,mio_throttle=24.06,short_scoreboard=4.89,8.5
l40s,wikipedia_text,12,onpair_shmem_4tpt_split8read,1,53.3,4.250,165.4,55.0,52.4,37.1,47.5,l1,0.599,0.239,180.5,136.0,301.2,301.2,569.0,569.0,402.9,1.34,mio_throttle=10.87,long_scoreboard=3.94,16.6
l40s,wikipedia_text,16,onpair_shmem_4tpt,1,51.4,4.290,163.9,68.7,76.9,30.9,33.1,l2,0.383,0.334,91.2,136.0,407.6,238.4,407.6,407.6,264.8,0.65,mio_throttle=22.33,short_scoreboard=3.81,7.8
h100,clickbench_URL,12,onpair_shmem_4tpt_split8read,1,43.8,1.650,606.1,86.9,28.7,25.6,59.9,l1,0.399,0.082,279.0,410.1,698.7,698.7,5017.2,5017.2,841.8,1.20,long_scoreboard=2.67,wait=1.79,25.1
