"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","4.00",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.09",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","2813753",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","GPU Speed Of Light Throughput","Memory Throughput","%","84.47",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","GPU Speed Of Light Throughput","DRAM Throughput","%","7.22",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","GPU Speed Of Light Throughput","Duration","ms","2.57",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","84.61",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","GPU Speed Of Light Throughput","L2 Cache Throughput","%","9.58",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","GPU Speed Of Light Throughput","SM Active Cycles","cycle","2803842.49",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","71.06",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","SpeedOfLight","","","","SOLBottleneck","INF","This workload is utilizing greater than 80.0% of the available compute or memory performance of the device. To further improve performance, work will likely need to be shifted from the most utilized to another unit. Start by analyzing L1 in the Memory Workload Analysis section.","",""
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (FP32) to double (FP64) performance on this device is 64:1. The workload achieved 0% of this device's FP32 peak performance and 0% of its FP64 peak performance. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","PM Sampling","Maximum Buffer Size","Mbyte","41.03",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","PM Sampling","Maximum Sampling Interval","us","2",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","PM Sampling","# Pass Groups","","2",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","Compute Workload Analysis","Executed Ipc Active","inst/cycle","2.85",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","2.84",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","Compute Workload Analysis","Issue Slots Busy","%","71.06",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","Compute Workload Analysis","Issued Ipc Active","inst/cycle","2.85",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","Compute Workload Analysis","SM Busy","%","71.06",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","ComputeWorkloadAnalysis","","","","HighPipeUtilization","OPT","ALU is the highest-utilized pipeline (66.2%) based on elapsed cycles in the workload, taking into account the rates of its different instructions. It executes integer and logic operations. The pipeline is well-utilized, but might become a bottleneck if more work is added. Based on the number of executed instructions, the highest utilized pipeline (66.2%) is ALU. It executes integer and logic operations. Comparing the two, the overall pipeline utilization appears to be caused by frequent, low-latency instructions. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-decoder) or hover over the pipeline name to understand the workloads handled by each pipeline. The Instruction Statistics section shows the mix of executed instructions for this workload. Check the Warp State Statistics section for which reasons cause warps to stall.","",""
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"0","18966","onpair-chunk-bench","127.0.0.1","onpair_shmem","1","14","(512, 1, 1)","(416151, 1, 1)","0","10.3","Memory Workload Analysis","Memory Throughput","Gbyte/s","554.01",
