"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","32842","onpair-chunk-bench","127.0.0.1","onpair_shmem_4tpt_vdict","1","15","(256, 1, 1)","(264, 1, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","2.62",
"0","32842","onpair-chunk-bench","127.0.0.1","onpair_shmem_4tpt_vdict","1","15","(256, 1, 1)","(264, 1, 1)","0","9.0","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.59",
"0","32842","onpair-chunk-bench","127.0.0.1","onpair_shmem_4tpt_vdict","1","15","(256, 1, 1)","(264, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","5237798",
"0","32842","onpair-chunk-bench","127.0.0.1","onpair_shmem_4tpt_vdict","1","15","(256, 1, 1)","(264, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Memory Throughput","%","60.10",
"0","32842","onpair-chunk-bench","127.0.0.1","onpair_shmem_4tpt_vdict","1","15","(256, 1, 1)","(264, 1, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Throughput","%","14.34",
"0","32842","onpair-chunk-bench","127.0.0.1","onpair_shmem_4tpt_vdict","1","15","(256, 1, 1)","(264, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Duration","ms","3.29",
"0","32842","onpair-chunk-bench","127.0.0.1","onpair_shmem_4tpt_vdict","1","15","(256, 1, 1)","(264, 1, 1)","0","9.0","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","60.87",
"0","32842","onpair-chunk-bench","127.0.0.1","onpair_shmem_4tpt_vdict","1","15","(256, 1, 1)","(264, 1, 1)","0","9.0","GPU Speed Of Light Throughput","L2 Cache Throughput","%","16.51",
"0","32842","onpair-chunk-bench","127.0.0.1","onpair_shmem_4tpt_vdict","1","15","(256, 1, 1)","(264, 1, 1)","0","9.0","GPU Speed Of Light Throughput","SM Active Cycles","cycle","5177648.48",
"0","32842","onpair-chunk-bench","127.0.0.1","onpair_shmem_4tpt_vdict","1","15","(256, 1, 1)","(264, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","39.63",
