# Multi-engine IAA hardware-Deflate decode -- GCP c3-standard-192-metal (Sapphire, 8 IAA engines)
# Intel(R) Xeon(R) Platinum 8481C; 192 vCPU; intel_iommu=intel_iommu=on,sm_on
# Shared WQ per device (8x128), block_on_fault=1, run AS ROOT, mlock'd buffers; aggregate GB/s vs thread count.
# col  threads  ratio  IAA-GB/s  verify
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=1   ratio 2.31x  IAA-decode 1.97 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=2   ratio 2.31x  IAA-decode 3.28 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=4   ratio 2.31x  IAA-decode 7.61 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=8   ratio 2.31x  IAA-decode 14.70 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=16  ratio 2.31x  IAA-decode 23.61 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=32  ratio 2.31x  IAA-decode 25.92 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=64  ratio 2.31x  IAA-decode 25.51 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=96  ratio 2.31x  IAA-decode 21.51 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=1   ratio 2.29x  IAA-decode 1.65 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=2   ratio 2.29x  IAA-decode 3.66 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=4   ratio 2.29x  IAA-decode 6.51 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=8   ratio 2.29x  IAA-decode 12.71 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=16  ratio 2.29x  IAA-decode 23.63 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=32  ratio 2.29x  IAA-decode 32.03 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=64  ratio 2.29x  IAA-decode 18.64 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=96  ratio 2.29x  IAA-decode 20.30 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=1   ratio 2.33x  IAA-decode 1.68 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=2   ratio 2.33x  IAA-decode 3.33 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=4   ratio 2.33x  IAA-decode 7.34 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=8   ratio 2.33x  IAA-decode 12.89 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=16  ratio 2.33x  IAA-decode 23.78 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=32  ratio 2.33x  IAA-decode 26.47 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=64  ratio 2.33x  IAA-decode 24.46 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=96  ratio 2.33x  IAA-decode 17.63 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=1   ratio 5.15x  IAA-decode 2.41 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=2   ratio 5.15x  IAA-decode 4.17 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=4   ratio 5.15x  IAA-decode 8.30 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=8   ratio 5.15x  IAA-decode 16.08 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=16  ratio 5.15x  IAA-decode 28.17 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=32  ratio 5.15x  IAA-decode 27.62 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=64  ratio 5.15x  IAA-decode 19.76 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=96  ratio 5.15x  IAA-decode 19.29 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=1   ratio 2.24x  IAA-decode 1.62 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=2   ratio 2.24x  IAA-decode 3.67 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=4   ratio 2.24x  IAA-decode 6.33 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=8   ratio 2.24x  IAA-decode 12.30 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=16  ratio 2.24x  IAA-decode 22.81 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=32  ratio 2.24x  IAA-decode 26.36 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=64  ratio 2.24x  IAA-decode 18.51 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=96  ratio 2.24x  IAA-decode 17.68 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=1   ratio 3.43x  IAA-decode 2.47 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=2   ratio 3.43x  IAA-decode 4.87 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=4   ratio 3.43x  IAA-decode 11.64 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=8   ratio 3.43x  IAA-decode 18.13 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=16  ratio 3.43x  IAA-decode 30.80 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=32  ratio 3.43x  IAA-decode 27.37 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=64  ratio 3.43x  IAA-decode 19.68 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=96  ratio 3.43x  IAA-decode 22.81 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=1   ratio 11.48x  IAA-decode 3.73 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=2   ratio 11.48x  IAA-decode 5.56 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=4   ratio 11.48x  IAA-decode 14.22 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=8   ratio 11.48x  IAA-decode 21.00 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=16  ratio 11.48x  IAA-decode 32.98 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=32  ratio 11.48x  IAA-decode 29.33 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=64  ratio 11.48x  IAA-decode 20.22 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=96  ratio 11.48x  IAA-decode 20.15 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=1   ratio 4.01x  IAA-decode 2.69 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=2   ratio 4.01x  IAA-decode 6.63 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=4   ratio 4.01x  IAA-decode 10.30 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=8   ratio 4.01x  IAA-decode 23.07 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=16  ratio 4.01x  IAA-decode 32.08 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=32  ratio 4.01x  IAA-decode 28.71 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=64  ratio 4.01x  IAA-decode 19.51 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=96  ratio 4.01x  IAA-decode 18.26 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=1   ratio 2.34x  IAA-decode 1.93 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=2   ratio 2.34x  IAA-decode 3.84 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=4   ratio 2.34x  IAA-decode 7.54 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=8   ratio 2.34x  IAA-decode 12.84 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=16  ratio 2.34x  IAA-decode 23.50 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=32  ratio 2.34x  IAA-decode 26.61 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=64  ratio 2.34x  IAA-decode 18.49 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=96  ratio 2.34x  IAA-decode 21.39 GB/s  VERIFY OK  (cretry=0)
