# Multi-engine IAA hardware-Deflate decode -- GCP c3-standard-192-metal (Sapphire, 8 IAA engines)
# Intel(R) Xeon(R) Platinum 8481C; 192 vCPU; intel_iommu=intel_iommu=on,sm_on
# Shared WQ per device (8x128), block_on_fault=1, run AS ROOT, mlock'd buffers; aggregate GB/s vs thread count.
# col  threads  ratio  IAA-GB/s  verify
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=1   ratio 2.31x  IAA-decode 1.68 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=2   ratio 2.31x  IAA-decode 3.35 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=4   ratio 2.31x  IAA-decode 6.63 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=8   ratio 2.31x  IAA-decode 13.05 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=16  ratio 2.31x  IAA-decode 24.01 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=32  ratio 2.31x  IAA-decode 26.12 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=64  ratio 2.31x  IAA-decode 24.32 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_electronics.bin threads=96  ratio 2.31x  IAA-decode 20.83 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=1   ratio 2.29x  IAA-decode 1.65 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=2   ratio 2.29x  IAA-decode 3.29 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=4   ratio 2.29x  IAA-decode 6.55 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=8   ratio 2.29x  IAA-decode 12.72 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=16  ratio 2.29x  IAA-decode 23.39 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=32  ratio 2.29x  IAA-decode 32.26 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=64  ratio 2.29x  IAA-decode 18.60 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/amazon_movies.bin threads=96  ratio 2.29x  IAA-decode 17.85 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=1   ratio 2.33x  IAA-decode 1.70 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=2   ratio 2.33x  IAA-decode 3.37 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=4   ratio 2.33x  IAA-decode 6.67 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=8   ratio 2.33x  IAA-decode 12.96 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=16  ratio 2.33x  IAA-decode 23.77 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=32  ratio 2.33x  IAA-decode 31.27 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=64  ratio 2.33x  IAA-decode 18.69 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/book_reviews.bin threads=96  ratio 2.33x  IAA-decode 17.88 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=1   ratio 5.15x  IAA-decode 2.13 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=2   ratio 5.15x  IAA-decode 4.22 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=4   ratio 5.15x  IAA-decode 9.87 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=8   ratio 5.15x  IAA-decode 18.69 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=16  ratio 5.15x  IAA-decode 29.90 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=32  ratio 5.15x  IAA-decode 34.09 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=64  ratio 5.15x  IAA-decode 27.29 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/clickbench_url.bin threads=96  ratio 5.15x  IAA-decode 19.06 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=1   ratio 2.24x  IAA-decode 1.85 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=2   ratio 2.24x  IAA-decode 3.67 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=4   ratio 2.24x  IAA-decode 7.29 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=8   ratio 2.24x  IAA-decode 13.95 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=16  ratio 2.24x  IAA-decode 24.43 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=32  ratio 2.24x  IAA-decode 26.52 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=64  ratio 2.24x  IAA-decode 18.44 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/fineweb.bin threads=96  ratio 2.24x  IAA-decode 17.57 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=1   ratio 3.43x  IAA-decode 2.46 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=2   ratio 3.43x  IAA-decode 4.85 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=4   ratio 3.43x  IAA-decode 9.30 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=8   ratio 3.43x  IAA-decode 21.35 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=16  ratio 3.43x  IAA-decode 31.14 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=32  ratio 3.43x  IAA-decode 33.67 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=64  ratio 3.43x  IAA-decode 27.10 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_comment.bin threads=96  ratio 3.43x  IAA-decode 18.77 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=1   ratio 11.48x  IAA-decode 2.92 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=2   ratio 11.48x  IAA-decode 5.74 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=4   ratio 11.48x  IAA-decode 11.27 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=8   ratio 11.48x  IAA-decode 21.14 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=16  ratio 11.48x  IAA-decode 35.10 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=32  ratio 11.48x  IAA-decode 35.55 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=64  ratio 11.48x  IAA-decode 20.03 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/l_shipinstruct.bin threads=96  ratio 11.48x  IAA-decode 21.06 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=1   ratio 4.01x  IAA-decode 2.63 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=2   ratio 4.01x  IAA-decode 6.63 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=4   ratio 4.01x  IAA-decode 12.87 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=8   ratio 4.01x  IAA-decode 19.34 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=16  ratio 4.01x  IAA-decode 33.37 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=32  ratio 4.01x  IAA-decode 33.46 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=64  ratio 4.01x  IAA-decode 19.33 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/ps_comment.bin threads=96  ratio 4.01x  IAA-decode 19.06 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=1   ratio 2.34x  IAA-decode 1.69 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=2   ratio 2.34x  IAA-decode 3.34 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=4   ratio 2.34x  IAA-decode 6.61 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=8   ratio 2.34x  IAA-decode 12.75 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=16  ratio 2.34x  IAA-decode 25.32 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=32  ratio 2.34x  IAA-decode 26.68 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=64  ratio 2.34x  IAA-decode 18.75 GB/s  VERIFY OK  (cretry=0)
/home/ubuntu/iaa/cols/wikipedia.bin threads=96  ratio 2.34x  IAA-decode 17.89 GB/s  VERIFY OK  (cretry=0)
