arch,col,card,bits,l1tex,l2,dram,sm,l1hit,l1_gld,l1_gst,l1_shld,l1_shst,l2_rd,dram_rd
a100,clickbench_URL,4018,12,90.2,34.5,36.5,64.5,81.8,42.7,2.8,5.7,48.8,54.5,30.7
a100,clickbench_URL,4018,16,86.3,59.3,28.9,37.3,41.9,49.0,3.5,5.0,42.5,76.3,19.6
a100,loghub-windows_line,3551,12,99.1,39.8,43.3,41.5,80.4,29.3,3.0,5.4,62.3,28.5,17.2
a100,loghub-windows_line,3551,16,99.0,39.6,42.8,35.9,72.5,32.5,4.0,5.5,58.0,36.8,15.1
l40s,clickbench_URL,4018,12,86.5,45.5,67.2,86.4,78.9,41.7,4.2,6.0,48.1,59.2,31.0
l40s,clickbench_URL,4018,16,79.1,80.2,70.4,59.0,38.6,45.1,4.9,5.0,45.0,73.9,20.2
l40s,loghub-windows_line,3551,12,69.6,36.8,76.4,57.7,78.5,31.9,4.4,5.9,57.7,34.0,17.4
l40s,loghub-windows_line,3551,16,68.6,40.5,76.8,49.7,71.1,34.3,4.6,5.6,55.5,39.4,15.2
h100,clickbench_URL,4018,12,89.5,35.6,32.9,74.7,86.6,38.6,2.5,6.0,52.8,39.0,30.8
h100,clickbench_URL,4018,16,96.6,63.9,29.7,48.9,52.3,45.2,3.4,5.5,45.8,71.0,19.7
h100,loghub-windows_line,3551,12,99.3,37.7,35.7,44.2,80.8,29.2,2.9,5.4,62.5,26.7,17.3
h100,loghub-windows_line,3551,16,99.4,40.2,36.4,40.0,73.1,30.3,3.8,5.7,60.1,34.8,15.1
b300,clickbench_URL,4018,12,94.3,11.2,11.2,70.4,86.9,38.5,2.7,6.4,52.5,44.1,31.6
b300,clickbench_URL,4018,16,98.0,25.2,9.9,44.1,52.2,45.0,3.4,5.5,46.1,71.9,20.3
b300,loghub-windows_line,3551,12,99.2,11.9,11.6,41.7,80.4,29.0,2.9,5.5,62.6,31.3,17.9
b300,loghub-windows_line,3551,16,99.3,14.4,11.8,37.4,73.1,30.1,3.8,5.7,60.3,38.2,15.5
rtxpro,clickbench_URL,4018,12,59.0,61.9,53.1,48.2,66.9,51.0,3.3,4.9,40.7,72.8,
rtxpro,clickbench_URL,4018,16,39.8,61.9,33.7,23.2,30.7,49.7,3.3,5.0,42.0,79.7,
rtxpro,loghub-windows_line,3551,12,80.0,66.1,78.9,54.7,65.5,39.1,3.8,4.5,52.6,55.3,
rtxpro,loghub-windows_line,3551,16,81.5,72.3,83.8,52.2,61.4,37.9,4.3,5.0,52.9,52.0,
