arch,col,card,bits,l1tex,l2,dram,sm,l1hit,l1_gld,l1_gst,l1_shld,l1_shst,l2_rd,dram_rd
a100,clickbench_URL,4018,12,84.7,29.2,29.6,52.8,86.9,36.8,2.4,5.3,55.5,42.8,30.9
a100,clickbench_URL,4018,16,91.4,52.4,29.9,32.7,45.5,46.0,3.9,4.2,45.9,72.0,19.8
a100,fineweb_text,4042,12,71.7,27.4,27.5,51.1,90.3,41.5,2.1,8.1,48.3,46.2,38.1
a100,fineweb_text,4042,16,80.8,66.0,19.0,27.7,30.5,58.4,2.8,3.7,35.1,87.2,26.6
a100,synthetic_url,169,12,93.2,41.0,45.5,38.3,78.1,25.8,4.4,6.2,63.6,14.8,15.0
a100,synthetic_url,169,16,93.5,39.6,44.4,39.0,79.3,26.8,4.1,6.0,63.1,15.6,15.7
a100,tpch-sf10_l_comment,3863,12,84.6,27.1,6.3,33.7,78.9,38.5,3.0,5.1,53.4,50.5,99.7
a100,tpch-sf10_l_comment,3863,16,82.3,68.5,25.3,23.6,22.3,50.6,3.2,3.8,42.4,81.9,16.8
a100,tpch-sf10_l_shipinstruct,5,12,90.0,40.7,45.0,45.5,47.1,17.4,7.0,6.5,69.1,16.7,18.0
a100,tpch-sf10_l_shipinstruct,5,16,90.6,40.4,44.6,45.1,44.2,18.2,7.4,6.4,68.1,16.7,18.0
a100,tpch-sf10_ps_comment,3870,12,93.3,36.6,39.9,38.0,79.4,32.2,3.2,5.5,59.1,34.4,16.9
a100,tpch-sf10_ps_comment,3870,16,80.5,64.9,27.0,23.4,21.7,46.6,4.6,4.9,43.9,78.4,14.2
a100,wikipedia_text,4048,12,72.1,27.0,26.9,51.8,90.3,41.6,2.1,7.9,48.3,47.2,39.1
a100,wikipedia_text,4048,16,83.7,65.6,19.4,29.1,33.4,58.3,2.8,3.6,35.3,86.9,27.4
l40s,clickbench_URL,4018,12,66.3,48.9,49.9,62.7,64.8,48.8,3.0,4.2,44.0,75.8,30.9
l40s,clickbench_URL,4018,16,69.2,75.3,59.6,47.3,29.1,46.3,3.5,4.3,45.9,77.6,19.9
l40s,fineweb_text,4042,12,46.1,46.1,32.2,38.6,58.7,60.8,2.6,5.2,31.3,85.5,38.9
l40s,fineweb_text,4042,16,79.5,88.3,35.5,36.8,11.5,57.6,2.3,3.8,36.3,89.8,27.9
l40s,synthetic_url,169,12,68.7,31.8,82.2,54.8,76.7,29.3,4.6,6.0,60.2,22.3,15.9
l40s,synthetic_url,169,16,69.4,32.6,82.3,52.7,75.7,29.9,4.8,6.0,59.4,24.2,15.3
l40s,tpch-sf10_l_comment,3863,12,51.1,47.5,8.5,31.5,43.9,50.2,3.1,4.2,42.5,79.4,100.0
l40s,tpch-sf10_l_comment,3863,16,70.1,78.0,41.6,27.8,6.0,49.2,2.8,4.0,44.1,84.7,17.6
l40s,tpch-sf10_l_shipinstruct,5,12,62.1,29.9,81.2,61.8,45.0,17.0,6.9,6.8,69.2,17.0,18.2
l40s,tpch-sf10_l_shipinstruct,5,16,62.4,29.9,81.3,61.9,45.0,17.4,7.0,6.8,68.8,17.0,18.2
l40s,tpch-sf10_ps_comment,3870,12,69.2,67.0,63.4,43.8,43.6,43.8,3.6,4.5,48.1,73.5,17.0
l40s,tpch-sf10_ps_comment,3870,16,70.0,78.0,46.5,28.3,5.7,45.5,3.9,5.1,45.5,81.6,14.8
l40s,wikipedia_text,4048,12,55.1,52.3,37.2,47.5,60.7,60.1,2.6,5.1,32.2,85.0,40.3
l40s,wikipedia_text,4048,16,68.7,76.7,30.9,33.1,13.6,57.8,2.4,3.7,36.2,89.7,29.0
h100,clickbench_URL,4018,12,86.9,28.7,25.6,59.9,87.9,35.9,2.4,5.3,56.4,38.8,31.2
h100,clickbench_URL,4018,16,95.8,56.9,26.8,37.7,47.6,44.1,3.9,4.4,47.7,70.1,19.9
h100,fineweb_text,4042,12,73.4,27.0,23.7,58.2,90.9,40.8,2.0,8.2,48.9,42.7,38.3
h100,fineweb_text,4042,16,91.1,78.7,18.7,35.1,34.8,55.8,2.9,3.9,37.4,86.0,26.9
h100,synthetic_url,169,12,95.5,39.8,38.2,42.3,78.8,25.8,4.2,6.1,63.8,15.1,15.4
h100,synthetic_url,169,16,95.6,39.4,37.8,42.1,79.3,26.4,4.0,6.1,63.5,15.4,15.5
h100,tpch-sf10_l_comment,3863,12,84.8,26.9,5.0,33.7,78.7,38.9,3.0,5.0,53.1,49.3,99.9
h100,tpch-sf10_l_comment,3863,16,90.8,76.8,24.0,29.0,27.0,48.3,3.4,4.0,44.3,80.2,16.9
h100,tpch-sf10_l_shipinstruct,5,12,94.2,41.0,38.7,50.4,47.1,17.4,7.0,6.4,69.1,16.7,18.2
h100,tpch-sf10_l_shipinstruct,5,16,94.2,41.0,38.7,50.4,47.1,17.4,7.0,6.4,69.1,16.7,18.2
h100,tpch-sf10_ps_comment,3870,12,95.6,36.1,34.3,41.8,80.3,31.6,3.1,5.5,59.8,31.6,17.0
h100,tpch-sf10_ps_comment,3870,16,90.4,74.0,26.2,29.5,26.1,44.5,4.8,5.1,45.7,76.4,14.3
h100,wikipedia_text,4048,12,73.5,26.2,22.8,58.4,91.0,41.1,2.0,8.1,48.8,44.2,39.6
h100,wikipedia_text,4048,16,92.0,75.2,18.8,36.0,37.9,55.4,2.9,3.9,37.8,85.3,27.5
b300,clickbench_URL,4018,12,87.6,8.6,8.5,56.0,88.3,35.3,2.5,5.8,56.4,40.5,31.8
b300,clickbench_URL,4018,16,95.8,22.0,8.8,36.1,47.8,43.5,4.0,4.6,48.0,70.9,20.5
b300,fineweb_text,4042,12,75.1,7.5,8.0,53.9,91.0,40.7,2.0,8.3,48.9,45.4,39.2
b300,fineweb_text,4042,16,91.2,30.5,6.1,33.7,34.5,55.4,3.1,4.3,37.1,86.1,27.6
b300,synthetic_url,169,12,94.9,11.1,12.2,39.5,79.0,26.3,4.0,6.1,63.6,20.1,16.1
b300,synthetic_url,169,16,94.9,11.1,12.3,39.4,78.9,26.4,4.1,6.1,63.4,19.9,16.0
b300,tpch-sf10_l_comment,3863,12,85.4,10.0,1.5,29.7,78.1,37.7,3.3,5.5,53.5,53.0,100.0
b300,tpch-sf10_l_comment,3863,16,94.2,31.9,8.2,28.6,27.4,47.7,3.3,4.1,44.9,80.6,17.4
b300,tpch-sf10_l_shipinstruct,5,12,93.6,11.2,12.3,47.0,46.9,17.5,7.1,6.4,69.0,22.0,19.0
b300,tpch-sf10_l_shipinstruct,5,16,93.6,11.2,12.3,46.9,46.9,17.7,7.1,6.4,68.8,22.0,19.0
b300,tpch-sf10_ps_comment,3870,12,94.1,12.3,10.9,38.8,80.0,31.9,3.1,5.5,59.5,36.1,17.7
b300,tpch-sf10_ps_comment,3870,16,94.2,31.2,8.9,28.2,26.9,44.2,4.7,5.1,46.0,76.9,14.8
b300,wikipedia_text,4048,12,75.2,7.3,7.7,54.3,91.0,40.7,2.0,8.1,49.1,46.6,40.8
b300,wikipedia_text,4048,16,92.1,29.4,6.1,34.5,37.3,55.1,3.2,4.2,37.5,85.6,28.6
