arch,col,card,bits,l1tex,l2,dram,sm,l1hit,ld,st
a100,clickbench_URL,4018,12,54.9,72.8,2.4,9.6,95.0,53.2,46.8
a100,clickbench_URL,4018,16,54.7,72.7,4.0,9.4,86.3,53.3,46.7
a100,fineweb_text,4042,12,27.8,26.1,0.2,7.5,99.7,52.9,47.1
a100,fineweb_text,4042,16,20.7,20.2,0.2,5.5,94.0,52.9,47.1
a100,synthetic_url,169,12,53.6,71.7,5.2,7.0,96.7,53.4,46.6
a100,synthetic_url,169,16,53.4,71.4,5.4,7.0,96.6,53.4,46.6
a100,tpch-sf10_l_comment,3863,12,39.3,48.9,1.3,9.0,97.8,53.9,46.1
a100,tpch-sf10_l_comment,3863,16,54.9,75.5,6.3,10.1,73.4,54.4,45.6
a100,tpch-sf10_l_shipinstruct,5,12,51.0,71.2,10.9,15.7,93.2,56.2,43.8
a100,tpch-sf10_l_shipinstruct,5,16,51.2,71.1,10.9,15.7,93.3,56.2,43.8
a100,tpch-sf10_ps_comment,3870,12,53.8,69.6,5.5,6.6,87.4,53.3,46.7
a100,tpch-sf10_ps_comment,3870,16,55.0,63.3,5.5,5.1,41.0,53.4,46.6
a100,wikipedia_text,4048,12,24.2,7.5,0.1,1.9,99.7,52.9,47.1
a100,wikipedia_text,4048,16,17.5,5.2,0.1,1.2,94.4,52.9,47.1
h100,clickbench_URL,4018,12,56.3,82.6,1.8,12.8,97.3,53.2,46.8
h100,clickbench_URL,4018,16,57.2,83.4,3.1,12.8,91.4,53.3,46.7
h100,fineweb_text,4042,12,22.6,20.8,0.1,7.1,99.7,52.9,47.1
h100,fineweb_text,4042,16,16.4,15.5,0.1,5.0,94.3,52.9,47.1
h100,synthetic_url,169,12,62.9,73.9,3.9,7.9,96.5,53.4,46.6
h100,synthetic_url,169,16,62.3,73.9,3.9,8.1,96.8,53.4,46.6
h100,tpch-sf10_l_comment,3863,12,33.1,48.3,0.8,10.3,97.2,53.9,46.1
h100,tpch-sf10_l_comment,3863,16,60.4,88.2,5.7,15.2,84.8,54.4,45.6
h100,tpch-sf10_l_shipinstruct,5,12,56.0,83.8,9.7,22.0,92.8,56.2,43.8
h100,tpch-sf10_l_shipinstruct,5,16,55.9,83.9,9.7,22.0,92.8,56.2,43.8
h100,tpch-sf10_ps_comment,3870,12,60.3,67.3,3.9,6.6,92.1,53.3,46.7
h100,tpch-sf10_ps_comment,3870,16,64.0,78.7,4.8,6.1,68.9,53.4,46.6
h100,wikipedia_text,4048,12,22.6,6.4,0.0,1.9,99.7,52.9,47.1
h100,wikipedia_text,4048,16,16.1,4.2,0.0,1.2,94.7,52.9,47.1
b300,clickbench_URL,4018,12,86.8,43.2,0.6,19.4,97.8,53.1,46.9
b300,clickbench_URL,4018,16,86.6,43.0,1.0,19.4,92.1,53.2,46.8
b300,fineweb_text,4042,12,18.4,6.1,0.0,5.6,99.7,nan,nan
b300,fineweb_text,4042,16,14.0,4.8,0.0,4.2,94.3,nan,nan
b300,synthetic_url,169,12,91.2,35.6,1.1,10.8,97.3,53.4,46.6
b300,synthetic_url,169,16,91.3,36.1,1.2,11.1,97.4,53.4,46.6
b300,tpch-sf10_l_comment,3863,12,27.7,14.7,0.2,8.7,97.6,53.9,46.1
b300,tpch-sf10_l_comment,3863,16,90.0,46.7,2.0,21.7,85.8,54.4,45.6
b300,tpch-sf10_l_shipinstruct,5,12,86.0,46.3,4.5,38.0,92.8,56.2,43.8
b300,tpch-sf10_l_shipinstruct,5,16,86.0,46.3,4.5,38.0,92.8,56.2,43.8
b300,tpch-sf10_ps_comment,3870,12,88.7,28.7,0.9,8.3,91.9,53.2,46.8
b300,tpch-sf10_ps_comment,3870,16,92.0,39.5,1.3,9.1,70.9,53.4,46.6
b300,wikipedia_text,4048,12,20.4,1.9,0.0,1.5,99.7,nan,nan
b300,wikipedia_text,4048,16,15.2,1.3,0.0,1.0,94.6,nan,nan
l40s,clickbench_URL,4018,12,78.1,86.9,3.5,8.1,87.5,53.2,46.8
l40s,clickbench_URL,4018,16,78.4,87.0,5.9,7.9,76.0,53.3,46.7
l40s,fineweb_text,4042,12,27.2,30.1,0.6,6.3,99.6,52.9,47.1
l40s,fineweb_text,4042,16,21.5,23.8,0.6,4.7,93.2,52.9,47.1
l40s,synthetic_url,169,12,80.7,89.7,8.6,5.9,91.5,53.4,46.6
l40s,synthetic_url,169,16,80.2,89.0,8.8,6.1,91.8,53.4,46.6
l40s,tpch-sf10_l_comment,3863,12,54.7,60.8,2.5,8.0,94.6,53.9,46.1
l40s,tpch-sf10_l_comment,3863,16,82.9,91.2,9.5,8.0,54.1,54.4,45.6
l40s,tpch-sf10_l_shipinstruct,5,12,78.2,86.4,22.0,14.7,92.4,56.2,43.8
l40s,tpch-sf10_l_shipinstruct,5,16,78.0,86.4,22.0,14.6,92.4,56.2,43.8
l40s,tpch-sf10_ps_comment,3870,12,69.0,76.9,6.6,4.8,65.0,53.3,46.7
l40s,tpch-sf10_ps_comment,3870,16,69.5,76.5,6.6,4.0,26.9,53.4,46.6
l40s,wikipedia_text,4048,12,23.3,8.6,0.2,1.5,99.6,52.9,47.1
l40s,wikipedia_text,4048,16,17.1,5.8,0.1,1.0,93.5,52.9,47.1
