arch,col,bits,long_scoreboard,mio_throttle,short_scoreboard,lg_throttle,wait,not_selected,selected,drain,barrier,no_instruction
l40s,clickbench_URL,12,24.2,38.6,10.3,2.7,7.4,6.1,4.7,1.4,0.0,0.4
l40s,clickbench_URL,16,12.4,50.6,11.2,5.5,5.3,6.2,3.9,1.9,0.0,0.2
l40s,fineweb_text,12,15.1,46.4,13.1,5.4,5.4,4.6,3.4,2.9,0.0,0.4
l40s,fineweb_text,16,7.8,57.6,9.8,8.3,4.0,5.0,2.9,2.3,0.0,0.2
l40s,synthetic_url,12,36.5,32.5,9.4,2.3,5.6,5.8,4.1,2.2,0.0,0.2
l40s,synthetic_url,16,35.3,33.2,9.5,2.6,5.4,5.4,4.0,2.3,0.0,0.2
l40s,tpch-sf10_l_comment,12,11.1,49.8,9.2,12.2,3.7,4.9,2.7,2.5,0.0,0.3
l40s,tpch-sf10_l_comment,16,8.4,60.2,12.4,9.1,3.1,3.4,2.2,2.3,0.0,0.1
l40s,tpch-sf10_l_shipinstruct,12,30.0,34.5,9.3,2.2,6.3,7.0,4.6,2.5,0.0,0.3
l40s,tpch-sf10_l_shipinstruct,16,30.2,34.5,9.6,2.1,6.3,7.0,4.6,2.4,0.0,0.3
l40s,tpch-sf10_ps_comment,12,14.2,49.4,12.0,5.0,5.0,5.7,3.7,1.9,0.0,0.2
l40s,tpch-sf10_ps_comment,16,8.4,58.7,11.9,9.9,3.4,3.5,2.4,2.2,0.0,0.2
l40s,wikipedia_text,12,15.9,44.0,12.4,4.4,6.5,5.6,4.1,2.6,0.0,0.5
l40s,wikipedia_text,16,7.7,59.6,10.1,8.8,3.6,4.5,2.7,2.3,0.0,0.2
h100,clickbench_URL,12,22.9,10.3,15.1,0.9,15.4,13.3,8.6,1.7,0.0,0.7
h100,clickbench_URL,16,17.8,27.8,23.1,1.4,8.8,8.0,5.4,3.2,0.0,0.3
h100,fineweb_text,12,20.1,10.2,14.2,0.6,15.7,15.4,8.7,1.6,0.0,1.0
h100,fineweb_text,16,15.6,26.6,24.3,2.0,7.8,8.3,4.8,4.6,0.0,0.3
h100,synthetic_url,12,17.0,34.6,16.7,0.3,9.4,9.4,5.8,2.0,0.0,0.3
h100,synthetic_url,16,17.0,34.6,16.9,0.3,9.4,9.3,5.7,2.0,0.0,0.3
h100,tpch-sf10_l_comment,12,21.3,29.3,17.2,0.9,9.3,8.6,5.7,1.3,0.0,1.8
h100,tpch-sf10_l_comment,16,14.9,35.4,23.6,2.3,6.8,6.1,4.2,3.8,0.0,0.2
h100,tpch-sf10_l_shipinstruct,12,19.4,28.3,15.0,0.1,11.2,11.4,6.9,1.3,0.0,0.4
h100,tpch-sf10_l_shipinstruct,16,19.4,28.3,15.0,0.1,11.2,11.4,6.9,1.3,0.0,0.4
h100,tpch-sf10_ps_comment,12,16.8,32.7,18.9,0.5,9.3,9.2,5.7,2.2,0.0,0.3
h100,tpch-sf10_ps_comment,16,14.6,38.2,20.6,3.6,6.9,5.7,4.2,3.0,0.0,0.4
h100,wikipedia_text,12,19.9,10.3,14.1,0.6,15.7,15.4,8.7,1.6,0.0,0.9
h100,wikipedia_text,16,15.7,26.2,24.1,1.9,8.0,8.5,4.9,4.6,0.0,0.3
b300,clickbench_URL,12,24.1,12.6,15.9,1.1,13.5,11.7,8.1,1.6,0.0,0.8
b300,clickbench_URL,16,14.2,34.1,20.8,2.0,7.8,8.5,5.1,3.0,0.0,0.3
b300,fineweb_text,12,22.3,12.7,14.8,1.1,14.1,12.8,8.1,1.6,0.0,1.2
b300,fineweb_text,16,13.2,29.4,23.2,2.4,6.8,9.2,4.5,5.0,0.0,0.3
b300,synthetic_url,12,12.8,40.7,14.0,0.9,7.9,10.2,5.2,2.9,0.0,0.4
b300,synthetic_url,16,12.8,40.7,14.1,0.9,7.9,10.2,5.2,2.9,0.0,0.4
b300,tpch-sf10_l_comment,12,14.3,33.6,16.3,2.7,8.3,9.3,5.5,2.0,0.0,2.5
b300,tpch-sf10_l_comment,16,11.1,40.7,21.6,4.3,6.4,6.0,4.3,2.6,0.0,0.3
