chip,dataset,column,bits,entries,frac_le8,baseline_gib_s,variant,gib_s,applicable,verified,delta_pct
a100,clickbench,URL,12,4096,0.8125308,425.7933975774601,pdict,201.39386563894035,True,True,-52.701505757307366
a100,clickbench,URL,12,4096,0.8125308,425.7933975774601,shdict8,232.4884195361592,True,True,-45.398773006134974
a100,clickbench,URL,12,4096,0.8125308,425.7933975774601,vdict,215.2140788512671,True,True,-49.45575011831519
a100,clickbench,URL,14,16384,0.6578805,441.71670579186724,pdict,0.0,False,False,
a100,clickbench,URL,14,16384,0.6578805,441.71670579186724,shdict8,174.63415845342834,True,True,-60.464669738863286
a100,clickbench,URL,14,16384,0.6578805,441.71670579186724,vdict,0.0,False,False,
a100,clickbench,URL,16,65536,0.5083111,469.780318814801,pdict,0.0,False,False,
a100,clickbench,URL,16,65536,0.5083111,469.780318814801,shdict8,0.0,False,False,
a100,clickbench,URL,16,65536,0.5083111,469.780318814801,vdict,0.0,False,False,
a100,fineweb,text,12,4096,0.98516864,382.78343102623086,pdict,150.5036293427643,True,True,-60.68178057256329
a100,fineweb,text,12,4096,0.98516864,382.78343102623086,shdict8,177.80907763799112,True,True,-53.548387096774185
a100,fineweb,text,12,4096,0.98516864,382.78343102623086,vdict,191.95724612037242,True,True,-49.852258336850994
a100,fineweb,text,14,16384,0.92522705,286.7255460650456,pdict,0.0,False,False,
a100,fineweb,text,14,16384,0.92522705,286.7255460650456,shdict8,124.7419328100843,True,True,-56.494308051021804
a100,fineweb,text,14,16384,0.92522705,286.7255460650456,vdict,0.0,False,False,
a100,fineweb,text,16,65536,0.8137481,238.58694441718904,pdict,0.0,False,False,
a100,fineweb,text,16,65536,0.8137481,238.58694441718904,shdict8,0.0,False,False,
a100,fineweb,text,16,65536,0.8137481,238.58694441718904,vdict,0.0,False,False,
a100,tpch-sf10,l_comment,12,4096,0.57563883,594.0526981414436,pdict,311.0446924947162,True,True,-47.64021887824897
a100,tpch-sf10,l_comment,12,4096,0.57563883,594.0526981414436,shdict8,355.13263602286224,True,True,-40.218664584146815
a100,tpch-sf10,l_comment,12,4096,0.57563883,594.0526981414436,vdict,260.37637585300604,True,True,-56.169481820784426
a100,tpch-sf10,l_comment,14,16384,0.4530621,467.60651971956304,pdict,0.0,False,False,
a100,tpch-sf10,l_comment,14,16384,0.4530621,467.60651971956304,shdict8,230.13529373849954,True,True,-50.784412955465584
a100,tpch-sf10,l_comment,14,16384,0.4530621,467.60651971956304,vdict,0.0,False,False,
a100,tpch-sf10,l_comment,16,65420,0.3339873,387.5137114846826,pdict,0.0,False,False,
a100,tpch-sf10,l_comment,16,65420,0.3339873,387.5137114846826,shdict8,0.0,False,False,
a100,tpch-sf10,l_comment,16,65420,0.3339873,387.5137114846826,vdict,0.0,False,False,
a100,tpch-sf10,ps_comment,12,4096,0.32522422,677.106855929534,pdict,372.21242660252346,True,True,-45.028997514498755
a100,tpch-sf10,ps_comment,12,4096,0.32522422,677.106855929534,shdict8,435.9635117993652,True,True,-35.6137797185832
a100,tpch-sf10,ps_comment,12,4096,0.32522422,677.106855929534,vdict,344.9216114466379,True,True,-49.059500959692905
a100,tpch-sf10,ps_comment,14,16230,0.22460425,554.6424677891924,pdict,0.0,False,False,
a100,tpch-sf10,ps_comment,14,16230,0.22460425,554.6424677891924,shdict8,275.53535658340746,True,True,-50.32198712051519
a100,tpch-sf10,ps_comment,14,16230,0.22460425,554.6424677891924,vdict,0.0,False,False,
a100,tpch-sf10,ps_comment,16,65534,0.15718322,452.42739064375206,pdict,0.0,False,False,
a100,tpch-sf10,ps_comment,16,65534,0.15718322,452.42739064375206,shdict8,0.0,False,False,
a100,tpch-sf10,ps_comment,16,65534,0.15718322,452.42739064375206,vdict,0.0,False,False,
h100,clickbench,URL,12,4096,0.8108264,794.9042774756113,pdict,538.1028419778603,True,True,-32.30595717930703
